CNA Short Name,CVEs,CNA Cost
ConcreteCMS,29,"$2,888.40"
yandex,29,"$2,888.40"
Alias,29,"$2,888.40"
Perforce,29,"$2,888.40"
NCSC-NL,28,"$2,788.80"
LGE,27,"$2,689.20"
GRAFANA,26,"$2,589.60"
naver,26,"$2,589.60"
Canon,26,"$2,589.60"
GandC,25,"$2,490.00"
cspcert,25,"$2,490.00"
ZUSO ART,25,"$2,490.00"
TianoCore,25,"$2,490.00"
Securifera,25,"$2,490.00"
Mautic,24,"$2,390.40"
netflix,24,"$2,390.40"
Proofpoint,24,"$2,390.40"
Vaadin,24,"$2,390.40"
Anolis,23,"$2,290.80"
AMZN,22,"$2,191.20"
BD,22,"$2,191.20"
airbus,22,"$2,191.20"
GovTech CSG,22,"$2,191.20"
PostgreSQL,21,"$2,091.60"
hikvision,20,"$1,992.00"
PSF,20,"$1,992.00"
Tribe29,19,"$1,892.40"
NLnet Labs,19,"$1,892.40"
OPPO,19,"$1,892.40"
Baxter,18,"$1,792.80"
Fortra,18,"$1,792.80"
nodejs,18,"$1,792.80"
Docker,17,"$1,693.20"
NLOK,17,"$1,693.20"
crafter,17,"$1,693.20"
CPANSec,16,"$1,593.60"
SN,16,"$1,593.60"
Dragos,16,"$1,593.60"
Xerox,16,"$1,593.60"
Vivo,16,"$1,593.60"
HYPR,15,"$1,494.00"
Absolute,15,"$1,494.00"
marklogic,15,"$1,494.00"
Carrier,15,"$1,494.00"
obdev,14,"$1,394.40"
Salesforce,14,"$1,394.40"
curl,14,"$1,394.40"
OpenNMS,14,"$1,394.40"
KNIME,14,"$1,394.40"
Yugabyte,14,"$1,394.40"
wolfSSL,13,"$1,294.80"
Lexmark,13,"$1,294.80"
PureStorage,13,"$1,294.80"
PaperCut,13,"$1,294.80"
AHA,13,"$1,294.80"
AppCheck,13,"$1,294.80"
TECNOMobile,13,"$1,294.80"
WatchGuard,13,"$1,294.80"
Fidelis,13,"$1,294.80"
directcyber,12,"$1,195.20"
ONEKEY,12,"$1,195.20"
Okta,12,"$1,195.20"
Hanwha_Vision,12,"$1,195.20"
VULSec,12,"$1,195.20"
Snow,12,"$1,195.20"
Microchip,11,"$1,095.60"
HW,11,"$1,095.60"
samsung.tv_appliance,11,"$1,095.60"
THA-PSIRT,11,"$1,095.60"
BT,11,"$1,095.60"
CSW,11,"$1,095.60"
VDOO,11,"$1,095.60"
RTI,10,$996.00
BlackDuck,10,$996.00
ARTICA,10,$996.00
Sonatype,10,$996.00
TV,10,$996.00
Gridware,10,$996.00
ASUSTOR1,10,$996.00
KoreLogic,10,$996.00
LINE,10,$996.00
SailPoint,10,$996.00
Swift,10,$996.00
HeroDevs,9,$896.40
ForgeRock,9,$896.40
WSO2,9,$896.40
GEHC,9,$896.40
ChromeOS,9,$896.40
Solidigm,9,$896.40
Qualys,9,$896.40
floragunn,9,$896.40
ASUS,9,$896.40
Mandiant,8,$796.80
Silver Peak,8,$796.80
PlexTrac,8,$796.80
Tcpdump,8,$796.80
cirosec,8,$796.80
Panasonic_Holdings_Corporation,8,$796.80
1E,8,$796.80
ASR,8,$796.80
IDEMIA,7,$697.20
Zowe,7,$697.20
Phoenix,7,$697.20
ERIC,7,$697.20
Payara,7,$697.20
Netskope,7,$697.20
upKeeper,7,$697.20
glibc,6,$597.60
Tigera,6,$597.60
Pentraze,6,$597.60
Synaptics,6,$597.60
ENISA,6,$597.60
duo,6,$597.60
Logitech,6,$597.60
ShopBeat,6,$597.60
360ST,6,$597.60
YokogawaGroup,6,$597.60
Panasonic Corporation,5,$498.00
Baicells,5,$498.00
sba-research,5,$498.00
Mirantis,5,$498.00
Checkmarx,5,$498.00
Opera,5,$498.00
joshbressers,5,$498.00
dotCMS,5,$498.00
Dfinity,5,$498.00
Cato,5,$498.00
SoftIron,4,$398.40
Temporal,4,$398.40
ODA,4,$398.40
Xylem,4,$398.40
redhat-cnalr,4,$398.40
N-able,4,$398.40
Omnissa,4,$398.40
NCSC-FI,4,$398.40
Halborn,3,$298.80
Medtronic,3,$298.80
Milestone,3,$298.80
SK-CERT,3,$298.80
OMRON,3,$298.80
ClickHouse,3,$298.80
42Gears,3,$298.80
BLSOPS,3,$298.80
GE GP,3,$298.80
FSOFT,3,$298.80
Supermicro,3,$298.80
Deltaww,3,$298.80
CoolKit,3,$298.80
Philips,3,$298.80
Nokia,3,$298.80
Hillstone,3,$298.80
NetMotion,2,$199.20
AlgoSec,2,$199.20
LY-Corporation,2,$199.20
Replicated,2,$199.20
SRA,2,$199.20
netgear,2,$199.20
Canon_EMEA,2,$199.20
OpenBMC,2,$199.20
bizerba,2,$199.20
arcinfo,2,$199.20
Genetec,2,$199.20
rami.io,2,$199.20
Zohocorp,2,$199.20
Forescout,2,$199.20
